epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.343,2.62025,3.23166,1.76572,0.21335,0.20013,0.12403,0.03954,2.76452,2.77686,1.54022,0.000199457,0.000199457,0.0802538
2,357.341,2.50399,2.73061,1.67334,0.17455,0.20963,0.14921,0.05339,2.6291,2.53425,1.50723,0.000399359,0.000399359,0.0604537
3,535.66,2.4774,2.65992,1.65558,0.40679,0.25279,0.2276,0.08926,2.56189,2.44818,1.41474,0.000598871,0.000598871,0.0406532
4,716.075,2.43527,2.58852,1.60672,0.35714,0.28932,0.24598,0.08572,2.5595,2.26063,1.48155,0.0007977,0.0007977,0.020852
5,896.707,2.41073,2.50119,1.60204,0.33152,0.30739,0.22959,0.08555,2.64568,2.16885,1.48026,0.000995555,0.000995555,0.0010499
6,1071.21,2.4228,2.51185,1.60835,0.42846,0.34121,0.3004,0.11427,2.43944,2.15303,1.39685,0.000993906,0.000993906,0.000993906
7,1247.71,2.35694,2.39465,1.57951,0.38805,0.29995,0.25435,0.09261,2.45619,2.16831,1.40412,0.000991232,0.000991232,0.000991232
8,1425.58,2.33344,2.37719,1.55462,0.39147,0.3152,0.32031,0.11789,2.46555,2.10346,1.38281,0.000988079,0.000988079,0.000988079
9,1600.21,2.2784,2.33559,1.53124,0.42079,0.33947,0.31344,0.11418,2.34447,2.06024,1.34171,0.000984449,0.000984449,0.000984449
10,1777.4,2.27854,2.32484,1.52946,0.39353,0.34513,0.28569,0.10166,2.46445,2.08572,1.39121,0.000980345,0.000980345,0.000980345
11,1946.99,2.24525,2.24947,1.5109,0.42733,0.34628,0.32668,0.12638,2.3578,1.91804,1.34473,0.000975773,0.000975773,0.000975773
12,2123.12,2.21961,2.25397,1.50917,0.43669,0.33492,0.30443,0.12028,2.40857,2.0197,1.41197,0.000970736,0.000970736,0.000970736
13,2294.86,2.24073,2.20693,1.52618,0.51616,0.35824,0.34013,0.13075,2.36883,1.98927,1.37379,0.000965239,0.000965239,0.000965239
14,2467.58,2.19709,2.21674,1.51261,0.46357,0.40196,0.33896,0.12941,2.36226,1.96542,1.35177,0.000959289,0.000959289,0.000959289
15,2648.05,2.22072,2.15951,1.49278,0.43619,0.41673,0.37525,0.14274,2.36747,2.00824,1.35871,0.000952889,0.000952889,0.000952889
16,2827.79,2.17113,2.11134,1.46693,0.4353,0.38893,0.34547,0.12478,2.44245,1.93912,1.36233,0.000946048,0.000946048,0.000946048
17,3004.25,2.16674,2.0941,1.48335,0.54885,0.374,0.37997,0.14148,2.38444,1.936,1.37318,0.000938772,0.000938772,0.000938772
18,3181.94,2.14258,2.0688,1.46443,0.41835,0.41098,0.35446,0.1294,2.46993,1.88419,1.40327,0.000931067,0.000931067,0.000931067
19,3354.45,2.16086,2.07901,1.48987,0.49008,0.41843,0.34446,0.12708,2.44939,1.93253,1.4122,0.000922942,0.000922942,0.000922942
20,3529.94,2.14523,2.0521,1.46705,0.47747,0.39384,0.35824,0.12917,2.46594,1.95562,1.38276,0.000914405,0.000914405,0.000914405
21,3709.63,2.16506,2.07605,1.47072,0.49128,0.39648,0.38154,0.14741,2.3256,1.90056,1.32321,0.000905463,0.000905463,0.000905463
22,3888.37,2.13531,2.02887,1.46322,0.4884,0.40635,0.39227,0.15875,2.30224,1.84084,1.36283,0.000896127,0.000896127,0.000896127
23,4061.08,2.10919,1.96695,1.44292,0.47254,0.4176,0.37738,0.15191,2.29168,2.00076,1.3324,0.000886404,0.000886404,0.000886404
24,4233.73,2.07664,1.92588,1.42305,0.52406,0.41079,0.39798,0.14765,2.42954,1.82136,1.36561,0.000876305,0.000876305,0.000876305
25,4408.95,2.07018,1.92161,1.42221,0.56231,0.42484,0.42229,0.15083,2.33464,1.80742,1.3348,0.000865839,0.000865839,0.000865839
26,4584.05,2.06201,1.88489,1.40852,0.5201,0.41093,0.40634,0.15066,2.32035,1.83157,1.32544,0.000855018,0.000855018,0.000855018
27,4763.16,2.07601,1.87472,1.423,0.50167,0.42456,0.39947,0.16978,2.30957,1.83604,1.32233,0.000843851,0.000843851,0.000843851
28,4939.89,2.05109,1.85083,1.42194,0.49503,0.44943,0.40739,0.15708,2.30737,1.91678,1.34689,0.000832349,0.000832349,0.000832349
29,5115.73,2.05418,1.84716,1.39976,0.534,0.4157,0.38373,0.14282,2.42449,1.92843,1.34117,0.000820525,0.000820525,0.000820525
30,5288.36,2.04357,1.84737,1.39049,0.51755,0.41402,0.387,0.154,2.31672,1.86957,1.3618,0.000808389,0.000808389,0.000808389
31,5463.72,2.044,1.83696,1.40308,0.49425,0.40928,0.37144,0.14433,2.37395,1.9175,1.35974,0.000795954,0.000795954,0.000795954
32,5645.09,2.02928,1.84527,1.41499,0.55149,0.43666,0.40201,0.15993,2.3066,1.82626,1.32496,0.000783231,0.000783231,0.000783231
33,5821.55,2.02057,1.78477,1.3839,0.55644,0.3929,0.41821,0.16626,2.31182,1.77477,1.36715,0.000770234,0.000770234,0.000770234
34,5999.71,2.01188,1.77431,1.38806,0.56326,0.43819,0.41573,0.17073,2.24233,1.83091,1.30738,0.000756976,0.000756976,0.000756976
35,6178.38,2.00487,1.76555,1.39101,0.47716,0.44241,0.39399,0.15314,2.24067,1.82201,1.32333,0.000743468,0.000743468,0.000743468
36,6357.77,1.97926,1.75562,1.37508,0.5416,0.43193,0.42965,0.17534,2.25487,1.83366,1.34238,0.000729725,0.000729725,0.000729725
37,6534.53,1.98652,1.743,1.39196,0.55127,0.47359,0.44073,0.16267,2.29505,1.8511,1.36453,0.000715761,0.000715761,0.000715761
38,6712.61,1.97604,1.72354,1.37146,0.51354,0.4406,0.40172,0.15908,2.25644,1.92157,1.31135,0.000701588,0.000701588,0.000701588
39,6888.54,1.97656,1.70147,1.36617,0.59729,0.4195,0.42418,0.16324,2.37038,1.81941,1.36871,0.000687222,0.000687222,0.000687222
40,7064,1.96577,1.69066,1.37378,0.56639,0.42981,0.43627,0.16804,2.24819,1.83264,1.32411,0.000672675,0.000672675,0.000672675
41,7240.65,1.97279,1.69422,1.37696,0.51077,0.43382,0.4125,0.15827,2.25863,1.88358,1.35714,0.000657963,0.000657963,0.000657963
42,7417.43,1.94577,1.65816,1.36567,0.48393,0.39459,0.39054,0.14763,2.35691,1.95944,1.36995,0.000643101,0.000643101,0.000643101
43,7596.52,1.94491,1.70174,1.35799,0.51042,0.45426,0.43038,0.16503,2.29965,1.81948,1.36591,0.000628101,0.000628101,0.000628101
44,7774.36,1.91497,1.62587,1.34961,0.55464,0.43301,0.42803,0.16968,2.35041,1.83769,1.3792,0.000612981,0.000612981,0.000612981
45,7954.13,1.92878,1.61662,1.37249,0.41177,0.46005,0.37681,0.14534,2.30162,1.86116,1.35625,0.000597754,0.000597754,0.000597754
46,8133.38,1.90145,1.5919,1.33531,0.47416,0.42274,0.37184,0.13651,2.28288,1.93795,1.36719,0.000582435,0.000582435,0.000582435
47,8313.82,1.89274,1.58238,1.33492,0.57919,0.4387,0.43048,0.16514,2.294,1.84919,1.31719,0.00056704,0.00056704,0.00056704
48,8492.41,1.90727,1.59571,1.33978,0.51147,0.453,0.42127,0.16158,2.27008,1.87426,1.33102,0.000551584,0.000551584,0.000551584
49,8673.54,1.90562,1.56602,1.33319,0.52188,0.45236,0.42594,0.16353,2.28604,1.84443,1.3343,0.000536081,0.000536081,0.000536081
50,8857.12,1.87863,1.56002,1.33009,0.54835,0.46056,0.45777,0.18189,2.25266,1.79111,1.33069,0.000520548,0.000520548,0.000520548
51,9048.89,1.90139,1.56073,1.32869,0.55615,0.44087,0.45219,0.17143,2.30092,1.77005,1.3679,0.000505,0.000505,0.000505
52,9246.89,1.87397,1.54541,1.3274,0.57494,0.41035,0.43608,0.16228,2.25088,1.8295,1.36433,0.000489452,0.000489452,0.000489452
53,9430.05,1.85927,1.49152,1.32096,0.60999,0.42904,0.4641,0.18159,2.28804,1.74714,1.35195,0.000473919,0.000473919,0.000473919
54,9646.05,1.86145,1.51787,1.3253,0.55285,0.45624,0.46295,0.16929,2.30148,1.81503,1.35774,0.000458416,0.000458416,0.000458416
55,9844.89,1.83943,1.46241,1.30467,0.52331,0.45268,0.43483,0.16797,2.29039,1.83174,1.35818,0.00044296,0.00044296,0.00044296
56,10062.7,1.85381,1.48008,1.31502,0.48478,0.45688,0.41793,0.16796,2.21145,1.82034,1.32642,0.000427565,0.000427565,0.000427565
